Query,Retrieval Chunk Count,Inference Latency (sec),Guardrail Triggered,Response Snippet
What specific CVE does APT29 use to attack Embassies?,3,2.77,True,Insufficient data....
Which ransomware group explicitly exploited the Citrix Bleed vulnerability (CVE-2023-4966)?,3,2.29,False,LockBit 3.0 ransomware (and its affiliates) explicitly exploited the Citrix Bleed vulnerability (CVE...
What are the specific initial access vectors utilized by the Scattered Spider group?,3,3.28,False,"The specific initial access vectors utilized by the Scattered Spider group are:
*   Broad phishing a..."
What are the historical Indicators of Compromise (IOCs) associated with Stuxnet 0.5?,3,2.46,True,Insufficient data....
Describe the living-off-the-land techniques used by Volt Typhoon to maintain persistence.,3,4.2,True,"Insufficient data. The provided text states that ""Volt Typhoon primarily relies on valid credentials..."
How does the Akira ransomware group handle data exfiltration and double extortion?,3,23.35,False,"The Akira ransomware group handles data exfiltration by exfiltrating data from compromised networks,..."
What specific remote monitoring and management (RMM) tools are associated with MuddyWater campaigns?,3,20.99,False,ConnectWise and RemoteUtilities....
Explain the role of legitimate IT tools in recent Iranian state-sponsored cyber operations.,3,6.17,True,Insufficient data....
What lateral movement techniques does the LockBit 3.0 group use against macOS environments?,3,4.48,True,Insufficient data....
Describe the primary attack vectors used by the fictional APT-99 'Neon Mirage' group targeting lunar outposts.,3,2.87,True,Insufficient data....
